Date Submitted,Workout Date,Activity Type,Calories Burned (kCal),Distance (mi),Workout Time (seconds),Avg Pace (min/mi),Max Pace,Avg Speed (mi/h),Max Speed,Avg Heart Rate,Steps,Notes,Source,Link
x,16-Sep-17,x,x,3.1,19.55,6.3,x,x,x,,x,,,http://www.mapmyrun.com/workout/2467538360
x,6-Oct-17,x,x,3.11,1198,6.416666667,x,x,x,,x,,,http://www.mapmyrun.com/workout/2508593210
x,14-Oct-17,x,x,3.09,1197,6.466666667,x,x,x,,x,,,http://www.mapmyrun.com/workout/2522643863
"Aug. 25, 2016","Aug. 25, 2016",Run,262,2.58535,2100,13.5467,0,4.42913,0,,4594,,,http://www.mapmyrun.com/workout/1703651153
"Aug. 24, 2016","Aug. 24, 2016",Run,643,5.99823,3114,8.65239,0,6.9345,0,,8840,,,http://www.mapmyrun.com/workout/1701121202
"Aug. 24, 2016","Aug. 23, 2016",Run,589,5.52283,3272,9.86118,0,6.08447,0,,8123,,,http://www.mapmyrun.com/workout/1701121559
"Aug. 24, 2016","Aug. 20, 2016",Run,1182,10.6151,6238,9.7892,0,6.12921,0,,16585,,,http://www.mapmyrun.com/workout/1701122141
"Aug. 19, 2016","Aug. 18, 2016",Run,990,8.95675,4940,9.18575,0,6.53185,0,,13924,,,http://www.mapmyrun.com/workout/1689006866
"Aug. 11, 2016","Aug. 11, 2016",Run,576,5.32407,2779,8.70857,0,6.88976,0,,8152,,,http://www.mapmyrun.com/workout/1672428971
"Aug. 11, 2016","Aug. 10, 2016",Run,543,5.11238,2645,8.62457,0,6.95687,0,,7184,,,http://www.mapmyrun.com/workout/1672428914
"Aug. 11, 2016","Aug. 9, 2016",Run,458,4.37399,1981,7.55561,0,7.94112,0,,5974,,,http://www.mapmyrun.com/workout/1672428848
"Aug. 11, 2016","Aug. 7, 2016",Run,1158,10.4635,5844,9.31333,0,6.44238,0,,15899,,,http://www.mapmyrun.com/workout/1672429061
"Aug. 7, 2016","Aug. 6, 2016",Run,387,3.40943,2034,9.93422,0,6.03973,0,,5742,,,http://www.mapmyrun.com/workout/1661586284
"Aug. 7, 2016","Aug. 6, 2016",Run,126,1.22814,521,7.07715,0,8.47799,0,,1597,,,http://www.mapmyrun.com/workout/1661585495
"Aug. 7, 2016","Aug. 5, 2016",Run,406,4.00227,1715,7.13362,0,8.41088,0,,5183,,,http://www.mapmyrun.com/workout/1661586056
"Aug. 7, 2016","Aug. 5, 2016",Run,283,2.57849,1420,9.18575,0,6.53185,0,,4137,,,http://www.mapmyrun.com/workout/1661585741
"Aug. 7, 2016","Aug. 4, 2016",Run,487,4.31935,2591,10.0084,0,5.99499,0,,6893,,,http://www.mapmyrun.com/workout/1661586635
"Aug. 3, 2016","Aug. 3, 2016",Run,459,4.33921,2448,9.41137,0,6.37527,0,,6367,,,http://www.mapmyrun.com/workout/1653278525
"Aug. 3, 2016","Aug. 2, 2016",Run,588,5.4946,2817,8.54217,0,7.02398,0,,8032,,,http://www.mapmyrun.com/workout/1653278687
"Aug. 3, 2016",30-Jul-16,Run,1158,10.3413,5837,9.41137,0,6.37527,0,,16575,,,http://www.mapmyrun.com/workout/1653279212
"Aug. 3, 2016",28-Jul-16,Run,448,4.16413,2088,8.35589,0,7.18057,0,,6145,,,http://www.mapmyrun.com/workout/1653278174
23-Jul-16,23-Jul-16,Run,1158,10.4057,5375,8.59692,0,6.97924,0,,15577,,,http://www.mapmyrun.com/workout/1628402276
22-Jul-16,22-Jul-16,Run,434,4.20674,1828,7.2493,0,8.27666,0,,5597,,,http://www.mapmyrun.com/workout/1626270275
